mutuario_id,mutuario_idade,mutuario_renda,mutuario_moradia_status,mutuario_tempo_trabalhado,emprestimo_id,emprestimo_intencao,emprestimo_nota,emprestimo_total,emprestimo_taxa,emprestimo_status,emprestimo_margem_renda,hist_id,hist_inadiplencia,hist_anos_conta
j8D4Ueti-IEmW,23,34560,Hipotecada,1.00,UDuG6qyx-vS9a,Medical,B,10000,0.11,0,0.29,006sNB1n-wNqM,0,2
F2LPtg5W-AIDY,31,54000,Alugada,1.00,vzx7MEqz-pu6s,Medical,C,4800,0.13,0,0.09,008PXO8T-b5gg,1,10
YmEeEsDk-anjk,22,55000,Alugada,5.00,joaSJhmA-0yER,Personal,D,8000,0.15,1,0.15,00dSoeyd-le7C,0,4
jRLazGbx-bzl0,37,62400,Hipotecada,5.00,HRWhuwH6-qDgh,Venture,D,10000,0.15,0,0.16,00gY4wj6-PyJ0,1,17
ama8SXWK-lK18,29,40000,Alugada,2.00,jI7Yq3hj-FgnE,Debtconsolidation,B,6000,0.11,0,0.15,012Cfu5Q-yjwB,0,6
H44F31ap-IJ85,32,49000,Alugada,2.00,xHcsaRmw-AhhN,Homeimprovement,B,12000,0.11,1,0.24,019OCLFU-xKsN,0,9
pLuFjLkR-OMPe,37,51000,Hipotecada,3.00,BdT2y5Rm-gciu,Debtconsolidation,C,12800,0.13,0,0.25,01ChAajj-wgLb,0,12
alGRHd5p-dluS,22,28000,Alugada,5.00,RlDWIQUm-X3eE,Personal,B,8000,NULL,0,0.13,01NThnYi-SQZr,1,2
EI0Y9u5l-72ZZ,29,56964,Alugada,12.00,Rh7qiSgw-BIUG,Debtconsolidation,A,18000,NULL,1,0.32,01O5ENfr-O7NU,0,8
hKxE238W-WW6z,30,45000,Alugada,11.00,LHPROcLo-eBYf,Medical,C,5000,0.13,1,0.11,0223JIDc-1Y78,1,8
oGhOcH4R-lFcN,33,58000,Alugada,5.00,bpoFZrri-SJxo,Medical,A,6400,0.08,0,0.11,02UTFAil-oykX,0,8
